,Product Name,Description,Price,Ratings,Brand,Model,Processor,Display Size,RAM,Storage,GPU,OS,Warranty
444,HP 15s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 15s-FR2006TU Thin and Light L...,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP BIOS Recovery1 Year Domestic Brand Warranty on Device","₹37,599",4.3,HP,15s Intel Core,Intel Core i3,39.62 cm,8 GB DDR4,512 GB SSD,Not Found,Windows 11 Home,1 Year Domestic Brand Warranty on Device
445,Lenovo IdeaPad 1 15IGL7 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad 1 15...,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayWindows 111 Year Warranty,"₹22,999",,Lenovo,IdeaPad 1 15IGL7,Intel Celeron,39.62 cm,8 GB DDR4,512 GB SSD,Not Found,Windows 11,111 Year Warranty
446,Acer ALG Gaming Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,Intel Core i7 Processor (13th Gen)16 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Warranty,"₹77,990",,Acer,ALG Gaming Intel,Intel Core i7,39.62 cm,16 GB DDR4,512 GB SSD,Not Found,Windows 11 Home,1 Year Warranty
447,Apple MacBook Pro Apple M3 Pro - (18 GB/512 GB SSD/macOS Sonoma) MRW13HN/A,"Apple M3 Pro Processor18 GB Unified Memory RAMMac OS Operating System512 GB SSD40.64 cm (16 Inch) DisplayBuilt-in Apps- App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos1 Year Limited Warranty","₹2,24,990",4.8,Apple,MacBook Pro Apple,Other,40.64 cm,18 GB ,512 GB SSD,Not Found,Not Found,1 Year Limited Warranty
448,DELL Inspiron Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5518 Thin an...,Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹44,999",3.9,DELL,Inspiron Intel Core,Intel Core i5,39.62 cm,16 GB DDR4,512 GB SSD,Not Found,Windows 11,1 Year Onsite Warranty
449,HP FQ Series Intel Core i3 12th Gen 1215U - (8 GB/1 TB SSD/Windows 11 Home) 15s-FQ5328TU Thin and Ligh...,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student '20211 Year Onsite Warranty,"₹40,900",3.9,HP,FQ Series Intel,Intel Core i3,39.62 cm,8 GB DDR4,1 TB SSD,Not Found,Windows 11,20211 Year Onsite Warranty
450,Lenovo Thinkpad E14 G5 Intel Core i5 13th Gen 1335U with 3 year Warranty - (16 GB/512 GB SSD/Windows 1...,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayMS OFFICE3 years Warranty,"₹68,399",3.3,Lenovo,Thinkpad E14 G5,Intel Core i5,35.56 cm,16 GB DDR4,512 GB SSD,Not Found,Windows 11,Not Found
451,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVI...,AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,"₹1,09,990",4.7,ASUS,TUF Gaming A15,AMD Ryzen 7,39.62 cm,16 GB DDR5,512 GB SSD,Not Found,Windows 11,1 Year Onsite warranty
452,HP Spectre x360 OLED Eyesafe Evo Intel Core i7 13th Gen 1355U - (16 GB/1 TB SSD/Windows 11 Home) 14-ef...,Intel Core i7 Processor (13th Gen)16 GB LPDDR4X RAM64 bit Windows 11 Operating System1 TB SSD34.29 cm (13.5 Inch) Touchscreen Display1 Year Onsite Warranty,"₹1,45,990",4.8,HP,Spectre x360 OLED,Intel Core i7,34.29 cm,16 GB LPDDR4,1 TB SSD,Not Found,Windows 11,1 Year Onsite Warranty
453,Lenovo IdeaPad Slim 3 Intel Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 15IGL05 ...,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Years On-Site Warranty,"₹25,990",3.6,Lenovo,IdeaPad Slim 3,Intel Celeron,39.62 cm,8 GB DDR4,256 GB SSD,Not Found,Windows 11,2 Years On-Site Warranty
454,Lenovo IdeaPad Gaming 3 Intel Intel Core i5 11th Gen 11300H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Gr...,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Warranty + 1 Year Premium Care + 1 Year ADP,"₹53,394",4.0,Lenovo,IdeaPad Gaming 3,Intel Core i5,39.62 cm,8 GB DDR4,512 GB SSD,Not Found,Windows 10,1 Year Warranty + 1 Year Premium Care + 1 Year ADP
455,ASUS Vivobook S 15 OLED Intel EVO H-Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 1...,Intel Core i5 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹79,890",3.9,ASUS,Vivobook S 15,Intel Core i5,39.62 cm,16 GB LPDDR5,512 GB SSD,Not Found,Windows 11,1 Year Onsite Warranty
456,DELL Inspiron 14 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5440 Thin ...,Intel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Hardware Service,"₹64,990",,DELL,Inspiron 14 Intel,Intel Core i5,35.56 cm,16 GB DDR5,512 GB SSD,Not Found,Windows 11 Home,20211 Year Onsite Hardware Service
457,Infinix GT Book Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,Intel Core i5 Processor (13th Gen)16 GB LPDDR5X RAMWindows 11 Operating System512 GB SSD40.64 cm (16 inch) DisplayControl Center1 Year Domestic Onsite Warranty On Laptop and 6 Months On Adapter,"₹74,990",4.4,Infinix,GT Book Intel,Intel Core i5,40.64 cm,16 GB LPDDR5,512 GB SSD,Not Found,Windows 11,1 Year Domestic Onsite Warranty On Laptop and 6 Months On Adapter
458,HP Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Lapto...,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP BIOS Recovery1 Year Domestic Brand Warranty on Device","₹36,899",4.3,HP,Intel Core i3,Intel Core i3,39.62 cm,8 GB DDR4,512 GB SSD,Not Found,Windows 10,1 Year Domestic Brand Warranty on Device
459,HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForce...,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,"₹57,990",4.2,HP,Victus Intel Core,Intel Core i5,39.62 cm,8 GB DDR4,512 GB SSD,Not Found,Windows 11,1 Year Onsite Warranty
